eps,min_samples,ARI,NMI,Homogeneity,Completeness,V_measure,num_true_ids,num_found_clusters,num_noise_samples,noise_ratio,cluster_purity_no_noise,cluster_pair_precision,cluster_pair_recall,cluster_pair_f1,ARI_no_noise,NMI_no_noise,Silhouette_cosine,misclustered_sample_count,misclustered_sample_rate,noise_sample_count,noise_sample_rate,merge_error_cluster_count,merge_error_cluster_rate,fragmented_identity_count,fragmented_identity_rate,clean_noise_rate,occluded_noise_rate,clean_miscluster_rate,occluded_miscluster_rate
0.005,2,-2.7900001521899425e-05,0.01271210737801944,0.006422136899859441,0.6176976936926449,0.01271210737801944,131,5,1504,0.9933949801849405,1.0,1.0,1.0,1.0,1.0,1.0,0.9254158735275269,0,0.0,1504,0.9933949801849405,0,0.0,0,0.0,1.0,0.9930458970792768,0.0,0.0
0.01,2,0.000304998398869241,0.1852879968191794,0.10783712587460954,0.6575645824747909,0.1852879968191794,131,67,1349,0.8910171730515192,0.9272727272727272,0.8553459119496856,0.6153846153846154,0.7157894736842105,0.7118507501890114,0.9458498839601776,0.6489056348800659,12,0.007926023778071334,1349,0.8910171730515192,9,0.13432835820895522,18,0.32142857142857145,0.9868421052631579,0.885952712100139,0.0,0.008344923504867872
0.015,2,0.0024789005795782322,0.3863630467482162,0.2681632459886298,0.6908908273467206,0.3863630467482162,131,113,1077,0.7113606340819022,0.8077803203661327,0.4014732965009208,0.6927966101694916,0.5083560046638166,0.5021088863288938,0.914501865833385,0.5109227895736694,84,0.05548216644649934,1077,0.7113606340819022,18,0.1592920353982301,43,0.43434343434343436,0.9605263157894737,0.6981919332406119,0.0,0.0584144645340751
0.02,2,0.007724059587597116,0.4533277054829083,0.33805261046724716,0.6878998265376045,0.4533277054829083,131,113,817,0.5396301188903567,0.6025824964131994,0.05496421021399696,0.6905871388630009,0.10182417808925073,0.08685743849166871,0.7903090460752129,0.26362597942352295,277,0.18295904887714662,817,0.5396301188903567,20,0.17699115044247787,48,0.41379310344827586,0.881578947368421,0.521557719054242,0.0,0.1926286509040334
0.025,2,0.014009225476129135,0.46840650046747934,0.3521007258988203,0.6994478376231009,0.46840650046747934,131,99,661,0.43659180977542933,0.4876905041031653,0.03438160562529658,0.7673299101412067,0.06581428315831486,0.05022399971935221,0.7161843185661423,0.14003483951091766,437,0.28863936591809775,661,0.43659180977542933,19,0.1919191919191919,54,0.45,0.868421052631579,0.413769123783032,0.013157894736842105,0.3031988873435327
