cluster_label,identity_key,count,cluster_total,ratio
90,Warehouse_015__Person_0187,8,8,1.0
91,Hospital_000__Person_0037,4,12,0.3333333333333333
91,Lab_000__Person_0001,8,12,0.6666666666666666
92,Warehouse_015__Person_0230,6,6,1.0
93,Hospital_000__Person_0019,15,15,1.0
94,Warehouse_015__Person_0015,12,12,1.0
95,Hospital_000__Person_0013,2,12,0.16666666666666666
95,Warehouse_015__Person_0180,10,12,0.8333333333333334
96,Hospital_000__Person_0013,10,10,1.0
97,Hospital_000__Person_0016,13,13,1.0
98,Hospital_000__Person_0031,13,13,1.0
99,Warehouse_015__Person_0236,11,11,1.0
100,Warehouse_015__Person_0003,11,11,1.0
101,Warehouse_015__Person_0215,13,13,1.0
102,Warehouse_015__Person_0191,9,28,0.32142857142857145
102,Warehouse_015__Person_0193,10,28,0.35714285714285715
102,Warehouse_015__Person_0239,9,28,0.32142857142857145
103,Warehouse_015__Person_0201,11,11,1.0
104,Hospital_000__Person_0012,8,8,1.0
105,Warehouse_015__Person_0218,10,10,1.0
106,Hospital_000__Person_0029,11,11,1.0
107,Warehouse_015__Person_0186,10,10,1.0
108,Warehouse_016__Person_0351,6,6,1.0
109,Warehouse_015__Person_0195,7,7,1.0
110,Warehouse_015__Person_0220,5,5,1.0
111,Warehouse_015__Person_0006,9,10,0.9
111,Warehouse_015__Person_0220,1,10,0.1
112,Warehouse_015__Person_0174,9,9,1.0
113,Warehouse_015__Person_0197,8,8,1.0
114,Warehouse_015__Person_0235,10,10,1.0
