cluster_label,identity_key,count,cluster_total,ratio
77,Warehouse_015__Person_0220,5,13,0.38461538461538464
78,Hospital_000__Person_0019,1,4,0.25
78,Hospital_000__Person_0026,1,4,0.25
78,Hospital_000__Person_0033,1,4,0.25
78,Hospital_000__Person_0039,1,4,0.25
79,Warehouse_015__Person_0010,6,6,1.0
80,Warehouse_015__Person_0188,3,3,1.0
81,Warehouse_015__Person_0172,5,5,1.0
82,Hospital_000__Person_0034,6,6,1.0
83,Hospital_000__Person_0000,1,11,0.09090909090909091
83,Hospital_000__Person_0005,5,11,0.45454545454545453
83,Hospital_000__Person_0034,5,11,0.45454545454545453
84,Hospital_000__Person_0029,7,7,1.0
85,Warehouse_015__Person_0186,5,5,1.0
86,Hospital_000__Person_0000,3,3,1.0
87,Hospital_000__Person_0000,4,4,1.0
88,Warehouse_015__Person_0172,3,3,1.0
89,Warehouse_015__Person_0219,3,3,1.0
90,Warehouse_015__Person_0221,6,6,1.0
91,Warehouse_015__Person_0175,8,8,1.0
92,Warehouse_015__Person_0181,7,7,1.0
93,Warehouse_015__Person_0192,9,9,1.0
94,Hospital_000__Person_0033,8,8,1.0
95,Warehouse_016__Person_0182,4,4,1.0
96,Hospital_000__Person_0003,8,10,0.8
96,Hospital_000__Person_0024,2,10,0.2
97,Hospital_000__Person_0003,1,3,0.3333333333333333
97,Hospital_000__Person_0024,2,3,0.6666666666666666
98,Hospital_000__Person_0039,4,4,1.0
99,Hospital_000__Person_0039,3,3,1.0
100,Warehouse_015__Person_0215,8,8,1.0
101,Warehouse_015__Person_0015,7,7,1.0
102,Warehouse_015__Person_0231,4,4,1.0
103,Warehouse_015__Person_0218,5,5,1.0
104,Warehouse_015__Person_0190,8,9,0.8888888888888888
104,Warehouse_015__Person_0200,1,9,0.1111111111111111
105,Warehouse_015__Person_0008,3,4,0.75
105,Warehouse_015__Person_0177,1,4,0.25
106,Warehouse_015__Person_0011,4,16,0.25
106,Warehouse_015__Person_0171,4,16,0.25
106,Warehouse_015__Person_0173,8,16,0.5
107,Warehouse_015__Person_0171,3,3,1.0
108,Warehouse_015__Person_0003,3,3,1.0
109,Warehouse_015__Person_0012,6,10,0.6
109,Warehouse_015__Person_0013,4,10,0.4
110,Warehouse_015__Person_0216,6,6,1.0
111,Warehouse_015__Person_0196,4,4,1.0
112,Warehouse_015__Person_0017,6,13,0.46153846153846156
112,Warehouse_015__Person_0194,7,13,0.5384615384615384
113,Warehouse_015__Person_0004,9,16,0.5625
113,Warehouse_015__Person_0013,1,16,0.0625
113,Warehouse_015__Person_0179,5,16,0.3125
113,Warehouse_015__Person_0231,1,16,0.0625
114,Warehouse_015__Person_0001,4,9,0.4444444444444444
114,Warehouse_015__Person_0167,5,9,0.5555555555555556
115,Warehouse_015__Person_0166,1,10,0.1
115,Warehouse_015__Person_0168,7,10,0.7
115,Warehouse_015__Person_0222,2,10,0.2
116,Warehouse_015__Person_0174,1,14,0.07142857142857142
116,Warehouse_015__Person_0195,1,14,0.07142857142857142
116,Warehouse_015__Person_0197,4,14,0.2857142857142857
116,Warehouse_015__Person_0235,8,14,0.5714285714285714
117,Warehouse_015__Person_0009,4,9,0.4444444444444444
117,Warehouse_015__Person_0177,2,9,0.2222222222222222
117,Warehouse_015__Person_0233,3,9,0.3333333333333333
118,Warehouse_015__Person_0009,1,4,0.25
118,Warehouse_015__Person_0177,2,4,0.5
118,Warehouse_015__Person_0233,1,4,0.25
119,Warehouse_015__Person_0191,6,14,0.42857142857142855
119,Warehouse_015__Person_0193,5,14,0.35714285714285715
119,Warehouse_015__Person_0239,3,14,0.21428571428571427
120,Warehouse_015__Person_0201,7,7,1.0
