eps,min_samples,ARI,NMI,Homogeneity,Completeness,V_measure,num_true_ids,num_found_clusters,num_noise_samples,noise_ratio,cluster_purity_no_noise,cluster_pair_precision,cluster_pair_recall,cluster_pair_f1,ARI_no_noise,NMI_no_noise,Silhouette_cosine,misclustered_sample_count,misclustered_sample_rate,noise_sample_count,noise_sample_rate,merge_error_cluster_count,merge_error_cluster_rate,fragmented_identity_count,fragmented_identity_rate,clean_noise_rate,occluded_noise_rate,clean_miscluster_rate,occluded_miscluster_rate
0.0425,2,0.18128064705259964,0.835684566023441,0.78767368541976,0.889928137094541,0.8356845660234408,131,134,298,0.19682959048877147,0.8898026315789473,0.7453664100370687,0.9496821071752952,0.8352104800702932,0.8338228461731098,0.9718795919978626,0.7546489834785461,134,0.08850726552179657,298,0.19682959048877147,13,0.09701492537313433,19,0.1450381679389313,0.7894736842105263,0.16550764951321278,0.0,0.09318497913769123
0.045,2,0.20554020387497454,0.8440253377542041,0.7973382316266766,0.8965198977161972,0.8440253377542041,131,128,278,0.18361955085865259,0.8818770226537217,0.7313071543840775,0.9573943661971831,0.8292162244586764,0.8277628156465016,0.9722308467183939,0.7725182175636292,146,0.0964332892998679,278,0.18361955085865259,13,0.1015625,15,0.11450381679389313,0.7368421052631579,0.15438108484005564,0.0,0.10152990264255911
0.0475,2,0.22554224633070857,0.8495060200517841,0.8056506010012929,0.8984108219959,0.8495060200517839,131,128,262,0.17305151915455746,0.8809904153354633,0.7285620485883125,0.954248366013072,0.8262715019733413,0.8247963294502358,0.9715102004958379,0.7653558254241943,149,0.09841479524438573,262,0.17305151915455746,14,0.109375,16,0.12213740458015267,0.7236842105263158,0.14394993045897078,0.0,0.10361613351877608
0.05,2,0.25021579247022435,0.8574845981936227,0.8157260761148052,0.90374918556449,0.8574845981936228,131,127,246,0.16248348745046234,0.8793375394321766,0.7257571901247136,0.9565582019456558,0.8253256150506512,0.8238387537772837,0.9716462329084571,0.7608798742294312,153,0.1010568031704095,246,0.16248348745046234,14,0.11023622047244094,15,0.11450381679389313,0.6973684210526315,0.13421418636995827,0.0,0.10639777468706536
0.0525,2,0.27780938672981176,0.86357270832856,0.8234979681019189,0.9077473647871678,0.86357270832856,131,126,228,0.15059445178335534,0.8685847589424572,0.698346116970278,0.9525911394474416,0.8058917087338359,0.8042190755068716,0.9687276613903193,0.7462846636772156,169,0.11162483487450463,228,0.15059445178335534,16,0.12698412698412698,17,0.1297709923664122,0.6578947368421053,0.12378303198887343,0.0,0.11752433936022254
